country,country_code,continent,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,004,Asia,0,0,0,0.0
Albania,008,Europe,89,132,54,4.9
Algeria,012,Africa,25,0,14,0.7
Andorra,020,Europe,245,138,312,12.4
Angola,024,Africa,217,57,45,5.9
Antigua & Barbuda,028,North America,102,128,45,4.9
Argentina,032,South America,193,25,221,8.3
Armenia,051,Asia,21,179,11,3.8
Australia,036,Oceania,261,72,212,10.4
Austria,040,Europe,279,75,191,9.7
Azerbaijan,031,Asia,21,46,5,1.3
Bahamas,044,North America,122,176,51,6.3
Bahrain,,Asia,42,63,7,2.0
Bangladesh,050,Asia,0,0,0,0.0
Barbados,052,North America,143,173,36,6.3
Belarus,112,Europe,142,373,42,14.4
Belgium,056,Europe,295,84,212,10.5
Belize,084,North America,263,114,8,6.8
Benin,204,Africa,34,4,13,1.1
Bhutan,064,Asia,23,0,0,0.4
Bolivia,068,South America,167,41,8,3.8
Bosnia-Herzegovina,070,Europe,76,173,8,4.6
Botswana,072,Africa,173,35,35,5.4
Brazil,076,South America,245,145,16,7.2
Brunei,096,Asia,31,2,1,0.6
Bulgaria,100,Europe,231,252,94,10.3
Burkina Faso,854,Africa,25,7,7,4.3
Burundi,108,Africa,88,0,0,6.3
Cote d'Ivoire,384,Africa,37,1,7,4.0
Cabo Verde,132,Africa,144,56,16,4.0
Cambodia,116,Asia,57,65,1,2.2
Cameroon,120,Africa,147,1,4,5.8
Canada,124,North America,240,122,100,8.2
Central African Republic,140,Africa,17,2,1,1.8
Chad,148,Africa,15,1,1,0.4
Chile,152,South America,130,124,172,7.6
China,156,Asia,79,192,8,5.0
Colombia,170,South America,159,76,3,4.2
Comoros,174,Africa,1,3,1,0.1
Congo,178,Africa,76,1,9,1.7
Cook Islands,184,Oceania,0,254,74,5.9
Costa Rica,188,North America,149,87,11,4.4
Croatia,191,Europe,230,87,254,10.2
Cuba,192,North America,93,137,5,4.2
Cyprus,196,Europe,192,154,113,8.2
Czech Republic,203,Europe,361,170,134,11.8
North Korea,408,Asia,0,0,0,0.0
DR Congo,180,Africa,32,3,1,2.3
Denmark,208,Europe,224,81,278,10.4
Djibouti,262,Africa,15,44,3,1.1
Dominica,212,North America,52,286,26,6.6
